Item,Quantity,Link
ESP32,1,https://www.aliexpress.com/item/1005009694232832.html?spm=a2g0o.productlist.main.1.5b8bc3f5B8HmYK&aem_p4p_detail=2026010206593715418004120532860003007959&algo_pvid=0f6d7b6e-c833-4946-b692-b332ab2295a3&algo_exp_id=0f6d7b6e-c833-4946-b692-b332ab2295a3-0&pdp_ext_f=%7B%22order%22%3A%22841%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%21116.69%21116.69%21%21%215.55%215.55%21%402103867617673659779095273ecb8a%2112000049877962179%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=bPYYmnweQOZ8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009694232832%7C_p_origin_prod%3A&search_p4p_id=2026010206593715418004120532860003007959_1
Breadboards,2,"https://www.aliexpress.com/item/1005007493250982.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.39465wTR5wTRq5&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=8dbcc88b-d5e8-41e2-b2d0-3061c52a7e5b&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:8dbcc88b-d5e8-41e2-b2d0-3061c52a7e5b,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22274%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21CZK%2120.09%2114.96%21%21%210.94%210.70%21%40211b813f17688460527546307e4546%2112000041013057517%21rec%21CZ%213289986290%21XZ%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005007493250982%7C_p_origin_prod%3A"
Big sound module,1,https://www.aliexpress.com/item/1005009123651703.html?spm=a2g0o.productlist.main.28.488a8Cvb8Cvb8C&aem_p4p_detail=202601191006423882644322380560003732744&algo_pvid=bc822fe6-0c97-4747-ad5b-a347bc53b173&algo_exp_id=bc822fe6-0c97-4747-ad5b-a347bc53b173-27&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%219.83%217.91%21%21%210.46%210.37%21%40211b815c17688460024976530e6156%2112000047996565819%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=UiuB2XQiP4lX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009123651703%7C_p_origin_prod%3A&search_p4p_id=202601191006423882644322380560003732744_7
Buzzer,1,https://www.aliexpress.com/item/1005006260328559.html?spm=a2g0o.productlist.main.1.453422aaKms6QJ&aem_p4p_detail=20260102065614197141902846080003241083&algo_pvid=1067701f-d8a4-4073-b522-5bab83d10f92&algo_exp_id=1067701f-d8a4-4073-b522-5bab83d10f92-0&pdp_ext_f=%7B%22order%22%3A%22319%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2127.75%2124.39%21%21%211.32%211.16%21%402103847817673657740211243ef0d6%2112000036509108003%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=u9zf8d5xh8uM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006260328559%7C_p_origin_prod%3A&search_p4p_id=20260102065614197141902846080003241083_1
Jumpers,Much,https://www.aliexpress.com/item/1005002611994443.html?spm=a2g0o.productlist.main.28.7dc96f23Txzygz&algo_pvid=f0be8999-2c3a-4069-80dc-26b5da2359cc&algo_exp_id=f0be8999-2c3a-4069-80dc-26b5da2359cc-27&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2147.63%2147.63%21%21%212.24%212.24%21%4021038e6617651173371191604ebe80%2112000021387001543%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=fx2zB0EGcu5H&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002611994443%7C_p_origin_prod%3A
Button,1,https://www.aliexpress.com/item/1005007197228321.html?spm=a2g0o.productlist.main.39.89a15f75EL5YJ8&algo_pvid=861677b9-9cad-4bce-95e7-1d46c515099f&algo_exp_id=861677b9-9cad-4bce-95e7-1d46c515099f-38&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2155.68%2144.54%21%21%212.60%212.08%21%402103835e17685934825381313e1b63%2112000039769859949%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=niWf4yREvIVl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007197228321%7C_p_origin_prod%3A
Mosfet,1,https://www.aliexpress.com/item/1005008593846004.html?spm=a2g0o.productlist.main.1.7577895dHSAhSD&algo_pvid=05206fe4-9753-40b0-941e-c3689c22bfa9&algo_exp_id=05206fe4-9753-40b0-941e-c3689c22bfa9-0&pdp_ext_f=%7B%22order%22%3A%2263%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2145.54%2145.54%21%21%2114.83%2114.83%21%40211b807017688460864995961e6091%2112000045873075314%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=lKbC2NYKhWH8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008593846004%7C_p_origin_prod%3A
Led stips,2,"https://www.aliexpress.com/item/4000121451290.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.6.7e54g0dHg0dH1p&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=c71454bb-30f1-4ca9-b82a-f463089142c9&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:c71454bb-30f1-4ca9-b82a-f463089142c9,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22172%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21CZK%2124.15%2122.65%21%21%211.13%211.06%21%40211b813f17688461309688725e4546%2110000000334491818%21rec%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A4000121451290%7C_p_origin_prod%3A"
Neopixel ring,1,https://www.aliexpress.com/item/1005008125328620.html?spm=a2g0o.order_list.order_list_main.109.296e1802NRsStg
RGB Led,1,https://www.aliexpress.com/item/1005009673729704.html?spm=a2g0o.order_list.order_list_main.77.296e1802NRsStg